S.No.,Product Name,Price,Rating,Reviews,Link,Description,ASIN,Product Description,Manufacturer
80,Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),377,4.3,"6,317",https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1675361478&sprefix=ba%2Caps%2C283&sr=8-62,"Durable Material - Travel Duffle Bag Is Made Of ,Durable Material.; Separate Shoes Compartment - Built-In Extra Shoes Compartment With Exterior Zippers To Keep Your Shoes And Clean Sport Gears Separate.    Multi-Purpose & Any Occasions - Perfect Duffle Bag For Hiking, Family Holiday, Vacation, Sports, A Short Trip, Gym, Work, Beach, Used As A Overnight Bag, A Short Journey Bag, A Weekender Bag, Gym Bag, Sports Duffle Bag.    Adjustable Shoulder Straps - Comfortable And Adjustable Shoulder Strap    Abundance Of Storage - Large Capacity,Meet Your Requirement For Sure And Keep Your Stuff In Order. What An Amazing Design For Sport Bag!    Water Resistance Level: Water Resistant; Handle Type: Web Handle; Color Name: Grey",B07XXFB9CZ,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",Sfane
81,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"1,695",4.3,"3,184",https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1675361478&sprefix=ba%2Caps%2C283&sr=8-63,"Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant; Dimensions: 36 cms x 13 cms x 50 cms (LxWxH)    Number of compartments: 3    Laptop Compatible: Fits up to 15.4 laptop    Light Weight    Note : Laptop compartment has no strap",B012D4QWES,The durable Peza workpack is designed for travel enthusiasts. It perfectly organizes your belongings and comes with a specially designed padded back system for enhanced carrying comfort. Laptop Compatible: Fits up to 15.4 laptop ; Quick-access side mesh pocket ; Ventex back system allows ventilation and better airflow.,Wildcraft
82,Lenovo Slim Everyday Backpack,839,4.4,"2,631",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1675361478&sprefix=ba%2Caps%2C283&sr=8-64,"Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort    Smooth zippers that never jam or break    Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use    Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials    The padded shoulder straps, handle, and back panel provides protection and all-day comfort.",B08R7RPVJF,Not Mentioned,Lenovo
83,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,199",4.9,41,https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1675361478&sprefix=ba%2Caps%2C283&sr=8-65,"Care Instructions: Wipe with Damp Cloth    Essence: This Fur Jaden smart laptop backpack is for Men and Women who are looking for a voguish, modernistic and branded backpack while having the option to not compromise on quality and be able to carry tons of stuff. Easy Access Pockets: A sleek anti theft pocket on the back as well as 2 pockets on the front side help keep all your belongings comfortably organised.    Multi Functional: This Fur Jaden Smart Backpack for men and women comes with a USB Charging Port which offers a convenient way to ensure you never run out of battery on the go. Organizer Pockets in the front compartment help keep al your accessories organized. Padded Laptop compartment helps keep your laptop safe.    Ergonomic Design: The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps to reduce the load bearing on your shoulders while the padded ventilated air mesh helps reduce sweat. This makes this bagpack a suitable alternative to bulky and unsightly laptop backpacks. The compact design of this Fur Jaden smart travel bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.    Dimensions: 48 CM (H) x 30CM (W) x 15CM (D). Weight: 450 Grams. Volume: 22L    Warranty: 1 Year Manufacturer Warranty Against Manufacturing Defects.",B0BSHBH9K2,"Essence: This Fur Jaden smart laptop backpack is for Men and Women who are looking for a voguish, modernistic and branded backpack while having the option to not compromise on quality and be able to carry tons of stuff. Easy Access Pockets: A sleek anti theft pocket on the back as well as 2 pockets on the front side help keep all your belongings comfortably organised. Multi Functional: This Fur Jaden Smart Backpack for men and women comes with a USB Charging Port which offers a convenient way to ensure you never run out of battery on the go. Organizer Pockets in the front compartment help keep al your accessories organized. Padded Laptop compartment helps keep your laptop safe. Ergonomic Design: The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps to reduce the load bearing on your shoulders while the padded ventilated air mesh helps reduce sweat. This makes this bagpack a suitable alternative to bulky and unsightly laptop backpacks. The compact design of this Fur Jaden smart travel bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.",Fur Jaden
84,HP Lightweight 300 Grey Laptops Backpack with Crafted Cable Pass Through and Padded Shoulder Straps,"1,002",4.1,67,https://www.amazon.in/HP-Lightweight-300-Grey-Backpack/dp/B08CY44PVD/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1675361478&sprefix=ba%2Caps%2C283&sr=8-66,"Protect your precious 15.6-inch laptop with the padded panels. Dual pocket protection design provides dual compartments for laptops and tablets.    Padded shoulder straps enable comfort even when the bag is at max load, plus a mesh padded back panel to support and keep you cool and comfortable even on extended use.    Special features like Back Trolly sleeve and Padded Grab handle are added advantages of the backpack.    Recharge your notebook and devices while you work or while they're connected to the bank inside your bag; or use the bank as a backup battery.    Rest easy with one-year limited warranty from the manufacturer.",B08CY44PVD,"HP Lightweight Backpack with double compartment, 2 stretchable bottle holders, Accessory pocket with pen and phone holders, pass through cable slot for charging, Air mesh padded back panel and shoulder straps and Luggage strap on the rear",Unknown
85,Baggit Women Hobo Handbag (ROSE),595,4.2,177,https://www.amazon.in/Baggit-Autumn-Winter-Leather-Womens-Handbag/dp/B08SCDTRKP/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1675361478&sprefix=ba%2Caps%2C283&sr=8-67,Cruelty-free material    Rose exterior    Main zip compartment    Front zipper    Long adjustable handle    Size: M    Made in India | Leading fashion brand since 30 years    6 months warranty,B08SCDTRKP,"In a most sought-after colour, this sling bag is simple, streamlined and totally essential ladies. Keep your phone and mask in the exterior zip pocket and conveniently house your other travel essentials as well. P.S You will make heads turn every time you sling this across your body.",Baggit India Pvt Ltd.
86,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,512,4.1,"4,860",https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1675361478&sprefix=ba%2Caps%2C283&sr=8-68,"PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.    LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.    EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.    DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.    BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.",B09321GJXZ,Not Mentioned,Unknown
87,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,196",4.2,"2,166",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTYyOTIyODI4Mzg3NDE2OjE2NzUzNjE0Nzg6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361478%26sprefix%3Dba%252Caps%252C283%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Care Instructions: Hand Wash Only    Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop     Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry     Front Organizer compartments for pens, keys, and cell phone     Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket",B078JVT384,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",Cosmus
88,Cosmus ACE Casual Navy 45 cm 22 Ltr Laptop Backpack Bag,718,3.9,120,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTYyOTIyODI4Mzg3NDE2OjE2NzUzNjE0Nzg6c3BfYnRmOjIwMDU2MTA2NzQ2NDA2OjowOjo&url=%2FCosmus-Casual-Navy-Laptop-Backpack%2Fdp%2FB08R7M639Z%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361478%26sprefix%3Dba%252Caps%252C283%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"BACKPACK FOR PROFESSIONALS: Backpack with Laptop Compartment and organization for Books & other items. A spacious main compartments & one Front Zipper Pocket. A great backpack for working professionals and students     DURABLE MATERIAL: Extra-large backpack: 18x12x06 (inches), Capacity: 22L separate laptop compartment hold for 15.6 inches Laptop. The Large backpack made from high quality polyester fabric. Laptop pocket designed for your laptops to give them maximum security. It comes with Pen Pocket and Power Bank Pocket which aids in organising your things systematically     SMART & EFFICIENT: This big backpack is crafted specially for professional needs. This bag accommodate your daily essentials with ease. It can easily carry your work from office to home while giving you some space for your needs too. Most suitable for working professional along with college students.     COMFORTABLE: This backpack comes with comfortable wide breathable shoulder straps well-padded materials that helps relieve the stress from your shoulder. It has adjustable chest straps for equal weight-distribution. Along with compact-squeezing straps that lets you squeeze your, while making it look slimmer, providing extra strength for heavy articles too.; WARRANTY: Cosmus Branded Backpack comes with One year Manufacturer Warranty.; Age Range Description: Adult     Pattern Name: Solid",B08R7M639Z,Not Mentioned,Unknown
89,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",998,3.9,-684,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODMxMTE2OTYyNDEwMjM0OjE2NzUzNjE0Nzk6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361479%26sprefix%3Dba%252Caps%252C283%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    Warranty type: Manufacturer; 12 months warranty against manufacturing defects",B01LXNNFDF,Not Mentioned,Backpack International Pvt Ltd
