Product Name,Price,Rating,Reviews,Link
Szeentp 34Ltr Casual Waterproof 18 Inch Black Laptop Bag/Backpack for Men Women Boys with Free Rain Cover,355,1.0,1,https://www.amazon.in/Szeentp-Casual-Waterproof-Laptop-Backpack/dp/B097YB4C76/ref=sr_1_294?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-294
Hidesign Women Sling Bag (Silver),"2,299",4.3,70,https://www.amazon.in/Isle-Coco-Hidesign-Womens-Sling/dp/B07L6N38Y3/ref=sr_1_295?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-295
Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag For Men/Women - Indiaink,774,4.2,"1,071",https://www.amazon.in/Gear-Compact-Business-Backpack-BUSCOMPACT052/dp/B08D76WDTV/ref=sr_1_296?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-296
Zipline Unisex Messenger Bags,843,4.0,"1,326",https://www.amazon.in/Zipline-Executive-Briefcase-Messenger-compartments/dp/B083BWTPZF/ref=sr_1_297?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-297
HIGH POWER Laptop Bag College office school bags Backpacks for Boys Girls Stylish men and women Casual Traveling Light weight (Black) 30 LTR,625,3.3,10,https://www.amazon.in/Laptop-College-Backpacks-Stylish-Traveling/dp/B0BKLVXZRX/ref=sr_1_298?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-298
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,798,3.5,10,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjMzOTI3MzE2MTU4ODA5OjE2NzUzNjE0OTg6c3BfbXRmOjIwMTA0MTQwMjY0Mjk4OjowOjo&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_299_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361498%26sprefix%3Dba%252Caps%252C283%26sr%3D8-299-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS
Large 45L Laptop Backpack Unisex Backpack |School Bag| |College Bag Blufin Bags,639,3.9,47,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjMzOTI3MzE2MTU4ODA5OjE2NzUzNjE0OTg6c3BfbXRmOjIwMTE2MjIzODUzMDk4OjowOjo&url=%2FBLUFIN-Unisex-Laptop-Backpack-Large%2Fdp%2FB09TRZ9CL2%2Fref%3Dsr_1_300_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361498%26sprefix%3Dba%252Caps%252C283%26sr%3D8-300-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
American Tourister Polyester Soft 29 cms Travel Duffle(FA0 (0) 09 001_Black),"1,099",4.0,129,https://www.amazon.in/Kamiliant-American-Tourister-BRIO-52CM/dp/B0849FBKPM/ref=sr_1_301?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-301
F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),881,4.4,323,https://www.amazon.in/F-Gear-Burner-Art-Lthr-Laptop-Backpack/dp/B085QWJVCZ/ref=sr_1_302?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-302
Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,979,4.0,274,https://www.amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L/ref=sr_1_303?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-303
"Lavie Sport Olympic Leatherette Unisex Gym Duffle Bag | Stylish & Spacious Weekender Travel Bag | Duffle Bag for Gym, Sports, Training",799,4.1,265,https://www.amazon.in/Lavie-Sport-Olympic-Synthetic-Training/dp/B0B4CZYTM6/ref=sr_1_304?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-304
"Allextreme Multipurpose Foldable Backpack For Men & Women Lightweight Water Resistant Bag For Occasional Travel, Hiking, Outdoor Tour, Day-To-Day Use (Lemon Green)",209,3.4,19,https://www.amazon.in/AllExtreme-Foldable-Lightweight-Waterproof-Backpack/dp/B06Y5RKXPN/ref=sr_1_305?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-305
Tommy Hilfiger Sargi Unisex Polyester 15 Inch Laptop Backpack Black,"2,009",2.6,2,https://www.amazon.in/Tommy-Hilfiger-Unisex-Polyester-Backpack/dp/B0BDSCSDM8/ref=sr_1_306?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-306
COSMUS Heavy Duty School Bag Norwich 33L waterproof Backpacks Bag With laptop compartment,"1,113",4.1,380,https://www.amazon.in/COSMUS-Polyester-Black-School-Backpack/dp/B078MFYJ3M/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-307
Lino Perros Faux Leather Handbag,"1,483",4.3,"2,423",https://www.amazon.in/Lino-Perros-Womens-Handbag-White/dp/B07L4QGTR4/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1675361498&sprefix=ba%2Caps%2C283&sr=8-308
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,196",4.2,"2,166",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjMzOTI3MzE2MTU4ODA5OjE2NzUzNjE0OTg6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_309_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361498%26sprefix%3Dba%252Caps%252C283%26sr%3D8-309-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Urban Tribe Amigo Backpack 15.6 Inch| Water Repellent |31 litres | Laptop Backpack for Men and Women,"1,998",3.9,585,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjMzOTI3MzE2MTU4ODA5OjE2NzUzNjE0OTg6c3BfYnRmOjIwMTA0MTQwMjYzMzk4OjowOjo&url=%2FUrban-Backpack-Repellent-litres-Laptop%2Fdp%2FB08X2FD3T8%2Fref%3Dsr_1_310_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361498%26sprefix%3Dba%252Caps%252C283%26sr%3D8-310-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA385M0TPSNV7VS
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",998,3.9,(684),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0ODA1ODQ4NDY5ODE5OjE2NzUzNjE1MDA6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_305_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361500%26sprefix%3Dba%252Caps%252C283%26sr%3D8-305-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS
Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),689,3.9,"(14,910)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0ODA1ODQ4NDY5ODE5OjE2NzUzNjE1MDA6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_306_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361500%26sprefix%3Dba%252Caps%252C283%26sr%3D8-306-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags (White)",599,5.0,(1),https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BRBHB779/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1675361500&sprefix=ba%2Caps%2C283&sr=8-307
"Storite Stylish Small Nylon Sling Cross Body Travel Office Bag for Men Women (21 x 6.5 x 23 cm, Navy Blue)",479,3.8,(353),https://www.amazon.in/Storite-Stylish-Cross-Body-Travel/dp/B097K5VBTZ/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1675361500&sprefix=ba%2Caps%2C283&sr=8-308
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,798,3.5,(10),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0ODA1ODQ4NDY5ODE5OjE2NzUzNjE1MDA6c3BfbXRmOjIwMTA0MTQwMjY0Mjk4OjowOjo&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_309_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361500%26sprefix%3Dba%252Caps%252C283%26sr%3D8-309-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS
Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,"1,899",4.4,(425),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0ODA1ODQ4NDY5ODE5OjE2NzUzNjE1MDA6c3BfbXRmOjIwMDk4NDY0Mjg5Nzk4OjowOjo&url=%2FRed-Lemon-Backpack-Multifunctional-Charcoal%2Fdp%2FB0BGSV19KZ%2Fref%3Dsr_1_310_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361500%26sprefix%3Dba%252Caps%252C283%26sr%3D8-310-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,196",4.2,"(2,166)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0ODA1ODQ4NDY5ODE5OjE2NzUzNjE1MDA6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_311_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361500%26sprefix%3Dba%252Caps%252C283%26sr%3D8-311-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Cosmus ACE Casual Navy 45 cm 22 Ltr Laptop Backpack Bag,718,3.9,(120),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0ODA1ODQ4NDY5ODE5OjE2NzUzNjE1MDA6c3BfYnRmOjIwMDU2MTA2NzQ2NDA2OjowOjo&url=%2FCosmus-Casual-Navy-Laptop-Backpack%2Fdp%2FB08R7M639Z%2Fref%3Dsr_1_312_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675361500%26sprefix%3Dba%252Caps%252C283%26sr%3D8-312-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
